"LH_RowNumber","AnimalCode","AnimalName","OtherID"
778,"Skh","Skhumbuzo",NA
779,"Nug","Nugget",NA
780,"Xeni","Xenia",NA
781,"Poff","Pofferthie",NA
782,"Cap","Capri",NA
783,"BNya20","Baby Nyanga 2020",NA
784,"Byalu","Baby Yalu 2020",NA
785,"Bkod20","Baby Kodiak 2020",NA
786,"Prim","Primavera",NA
787,"Fur","Furry Glen","Blackbelly"
788,"Nel","Nelson",NA
790,"Vry","Vryheid","NewMale06.22"
791,"Erm","Ermelo","NewMale02"
792,"NewMale3","NewMale3","NewMale3"
793,"Eiv","Eivissa","NewMale090622"
794,"Haw","Hawai","NewMale110622;Formentera"
795,"Rya","Ryan",NA
796,"Zeu","Zeus","Collared Male;MaleCollar"
797,"Hera","Hera",NA
798,"Medu","Medusa",NA
799,"Frey","Freyja",NA
800,"Athe","Athena",NA
801,"Circ","Circe",NA
802,"Pand","Pandora",NA
803,"Dak","Dakar",NA
804,"Sta","Stanley",NA
805,"BBCirc21","BBCirc21",NA
806,"BBInhl21","BBInhl21",NA
807,"JUV1","JUV1","JUV1"
808,"JUV2","JUV2","JUV2"
809,"Man","Mandy","NewMale0922"
810,"Kny","Knysna",NA
811,"BBXian22","BBXian22",NA
812,"Ang","Angara",NA
813,"Alab","Alabama",NA
814,"Grim","Grimsby",NA
815,"Glo","Gloed",NA
816,"BBInhl22","BBInhl22",NA
817,"BBDigb22","BBDigb22",NA
817,"BBMara22","BBMara22",NA
819,"Yent","Yentna",NA
820,"Gua","Guadalajara",NA
821,"BBOort22","BBOort22",NA
822,"BBDian22","BBDian22",NA
